reading, timestamp, unit, weighting
77.6, 2026-04-13T09:41:39.972Z, dB, A
79.6, 2026-04-13T09:41:40.484Z, dB, A
81, 2026-04-13T09:41:41.004Z, dB, A
82, 2026-04-13T09:41:41.516Z, dB, A
77.5, 2026-04-13T09:41:42.037Z, dB, A
75.8, 2026-04-13T09:41:42.556Z, dB, A
76.6, 2026-04-13T09:41:43.068Z, dB, A
76.6, 2026-04-13T09:41:43.580Z, dB, A
77.5, 2026-04-13T09:41:44.092Z, dB, A
77.7, 2026-04-13T09:41:44.604Z, dB, A
75.2, 2026-04-13T09:41:45.115Z, dB, A
81.1, 2026-04-13T09:41:45.628Z, dB, A
80.6, 2026-04-13T09:41:46.139Z, dB, A
78.9, 2026-04-13T09:41:46.652Z, dB, A
79.2, 2026-04-13T09:41:47.164Z, dB, A
80.7, 2026-04-13T09:41:47.676Z, dB, A
82.1, 2026-04-13T09:41:48.188Z, dB, A
81.1, 2026-04-13T09:41:48.699Z, dB, A
82.5, 2026-04-13T09:41:49.211Z, dB, A
80.1, 2026-04-13T09:41:49.748Z, dB, A
78.2, 2026-04-13T09:41:50.260Z, dB, A
78.9, 2026-04-13T09:41:50.780Z, dB, A
79.2, 2026-04-13T09:41:51.293Z, dB, A
79.2, 2026-04-13T09:41:51.293Z, dB, A
78.6, 2026-04-13T09:41:51.812Z, dB, A
77.9, 2026-04-13T09:41:52.324Z, dB, A
79, 2026-04-13T09:41:52.844Z, dB, A
79.4, 2026-04-13T09:41:53.365Z, dB, A
80.2, 2026-04-13T09:41:53.885Z, dB, A
81.4, 2026-04-13T09:41:54.405Z, dB, A
82.7, 2026-04-13T09:41:54.925Z, dB, A
82.6, 2026-04-13T09:41:55.437Z, dB, A
83.1, 2026-04-13T09:41:55.956Z, dB, A
84.1, 2026-04-13T09:41:56.468Z, dB, A
85.3, 2026-04-13T09:41:56.996Z, dB, A
86.3, 2026-04-13T09:41:57.509Z, dB, A
85.2, 2026-04-13T09:41:58.028Z, dB, A
98.9, 2026-04-13T09:41:58.540Z, dB, A
101.6, 2026-04-13T09:41:59.053Z, dB, A
86.9, 2026-04-13T09:41:59.573Z, dB, A
86.6, 2026-04-13T09:42:00.084Z, dB, A
85.6, 2026-04-13T09:42:00.597Z, dB, A
85.9, 2026-04-13T09:42:01.116Z, dB, A
83.5, 2026-04-13T09:42:01.636Z, dB, A
83.3, 2026-04-13T09:42:02.149Z, dB, A
81.6, 2026-04-13T09:42:02.668Z, dB, A
80.1, 2026-04-13T09:42:03.180Z, dB, A
79.6, 2026-04-13T09:42:03.692Z, dB, A
79.6, 2026-04-13T09:42:04.204Z, dB, A
78.9, 2026-04-13T09:42:04.716Z, dB, A
78.9, 2026-04-13T09:42:05.228Z, dB, A
78.9, 2026-04-13T09:42:05.748Z, dB, A
79.4, 2026-04-13T09:42:06.260Z, dB, A
93.1, 2026-04-13T09:42:06.780Z, dB, A
92.4, 2026-04-13T09:42:07.292Z, dB, A
92.4, 2026-04-13T09:42:07.292Z, dB, A
80.7, 2026-04-13T09:42:07.812Z, dB, A
79.6, 2026-04-13T09:42:08.324Z, dB, A
78.9, 2026-04-13T09:42:08.844Z, dB, A
77.6, 2026-04-13T09:42:09.356Z, dB, A
76.9, 2026-04-13T09:42:09.868Z, dB, A
75.6, 2026-04-13T09:42:10.389Z, dB, A
74.8, 2026-04-13T09:42:10.900Z, dB, A
74, 2026-04-13T09:42:11.421Z, dB, A
73.2, 2026-04-13T09:42:11.940Z, dB, A
74.2, 2026-04-13T09:42:12.452Z, dB, A
74, 2026-04-13T09:42:12.972Z, dB, A
76.1, 2026-04-13T09:42:13.485Z, dB, A
80.5, 2026-04-13T09:42:14.005Z, dB, A
78.3, 2026-04-13T09:42:14.524Z, dB, A
75.3, 2026-04-13T09:42:15.044Z, dB, A
75.6, 2026-04-13T09:42:15.556Z, dB, A
76.5, 2026-04-13T09:42:16.068Z, dB, A
78, 2026-04-13T09:42:16.588Z, dB, A
74.9, 2026-04-13T09:42:17.108Z, dB, A
74.6, 2026-04-13T09:42:17.628Z, dB, A
75.6, 2026-04-13T09:42:18.140Z, dB, A
80.4, 2026-04-13T09:42:18.660Z, dB, A
80.5, 2026-04-13T09:42:19.172Z, dB, A
80.4, 2026-04-13T09:42:19.684Z, dB, A
82.4, 2026-04-13T09:42:20.196Z, dB, A
75.4, 2026-04-13T09:42:20.716Z, dB, A
74.3, 2026-04-13T09:42:21.228Z, dB, A
81.5, 2026-04-13T09:42:21.740Z, dB, A
80, 2026-04-13T09:42:22.252Z, dB, A
76, 2026-04-13T09:42:22.765Z, dB, A
76.8, 2026-04-13T09:42:23.284Z, dB, A
78.6, 2026-04-13T09:42:23.796Z, dB, A
78.6, 2026-04-13T09:42:23.796Z, dB, A
81.3, 2026-04-13T09:42:24.316Z, dB, A
81.9, 2026-04-13T09:42:24.836Z, dB, A
82.2, 2026-04-13T09:42:25.348Z, dB, A
83.5, 2026-04-13T09:42:25.860Z, dB, A
83.5, 2026-04-13T09:42:26.380Z, dB, A
82.5, 2026-04-13T09:42:26.892Z, dB, A
82.7, 2026-04-13T09:42:27.412Z, dB, A
81.4, 2026-04-13T09:42:27.924Z, dB, A
81.8, 2026-04-13T09:42:28.444Z, dB, A
82.2, 2026-04-13T09:42:28.964Z, dB, A
81.7, 2026-04-13T09:42:29.485Z, dB, A
81.3, 2026-04-13T09:42:30.005Z, dB, A
80.6, 2026-04-13T09:42:30.517Z, dB, A
79.7, 2026-04-13T09:42:31.037Z, dB, A
78.3, 2026-04-13T09:42:31.556Z, dB, A
78.3, 2026-04-13T09:42:32.076Z, dB, A
76.1, 2026-04-13T09:42:32.588Z, dB, A
76.4, 2026-04-13T09:42:33.108Z, dB, A
75, 2026-04-13T09:42:33.620Z, dB, A
73.9, 2026-04-13T09:42:34.139Z, dB, A
72, 2026-04-13T09:42:34.652Z, dB, A
72, 2026-04-13T09:42:35.165Z, dB, A
73.6, 2026-04-13T09:42:35.676Z, dB, A
77.1, 2026-04-13T09:42:36.188Z, dB, A
77.1, 2026-04-13T09:42:36.700Z, dB, A
74.5, 2026-04-13T09:42:37.212Z, dB, A
74.3, 2026-04-13T09:42:37.732Z, dB, A
76.6, 2026-04-13T09:42:38.244Z, dB, A
76.7, 2026-04-13T09:42:38.764Z, dB, A
75.8, 2026-04-13T09:42:39.276Z, dB, A
76, 2026-04-13T09:42:39.788Z, dB, A
73.8, 2026-04-13T09:42:40.300Z, dB, A
73.8, 2026-04-13T09:42:40.300Z, dB, A
72.3, 2026-04-13T09:42:40.812Z, dB, A
72.1, 2026-04-13T09:42:41.332Z, dB, A
72.6, 2026-04-13T09:42:41.852Z, dB, A
71.7, 2026-04-13T09:42:42.373Z, dB, A
72.1, 2026-04-13T09:42:42.884Z, dB, A
71.8, 2026-04-13T09:42:43.396Z, dB, A
72.6, 2026-04-13T09:42:43.916Z, dB, A
73.2, 2026-04-13T09:42:44.428Z, dB, A
75.1, 2026-04-13T09:42:44.948Z, dB, A
76.1, 2026-04-13T09:42:45.460Z, dB, A
74.1, 2026-04-13T09:42:45.972Z, dB, A
78.1, 2026-04-13T09:42:46.485Z, dB, A
80.1, 2026-04-13T09:42:47.004Z, dB, A
79.1, 2026-04-13T09:42:47.516Z, dB, A
77.7, 2026-04-13T09:42:48.044Z, dB, A
76, 2026-04-13T09:42:48.564Z, dB, A
