reading, timestamp, unit, weighting
60.9, 2026-04-13T06:24:31.363Z, dB, A
60.9, 2026-04-13T06:24:31.363Z, dB, A
63, 2026-04-13T06:24:31.891Z, dB, A
64.3, 2026-04-13T06:24:32.411Z, dB, A
65.8, 2026-04-13T06:24:32.931Z, dB, A
70, 2026-04-13T06:24:33.443Z, dB, A
73.3, 2026-04-13T06:24:33.956Z, dB, A
78.1, 2026-04-13T06:24:34.475Z, dB, A
78.7, 2026-04-13T06:24:35.003Z, dB, A
77.1, 2026-04-13T06:24:35.515Z, dB, A
73.3, 2026-04-13T06:24:36.035Z, dB, A
72.6, 2026-04-13T06:24:36.547Z, dB, A
66.2, 2026-04-13T06:24:37.083Z, dB, A
63.2, 2026-04-13T06:24:37.603Z, dB, A
61.7, 2026-04-13T06:24:38.123Z, dB, A
61.5, 2026-04-13T06:24:38.643Z, dB, A
61.9, 2026-04-13T06:24:39.163Z, dB, A
65.7, 2026-04-13T06:24:39.683Z, dB, A
66.7, 2026-04-13T06:24:40.195Z, dB, A
67.9, 2026-04-13T06:24:40.715Z, dB, A
67.1, 2026-04-13T06:24:41.227Z, dB, A
66.3, 2026-04-13T06:24:41.748Z, dB, A
65.4, 2026-04-13T06:24:42.267Z, dB, A
64.5, 2026-04-13T06:24:42.787Z, dB, A
63.9, 2026-04-13T06:24:43.299Z, dB, A
61.6, 2026-04-13T06:24:43.819Z, dB, A
61, 2026-04-13T06:24:44.331Z, dB, A
60.4, 2026-04-13T06:24:44.859Z, dB, A
60.4, 2026-04-13T06:24:44.859Z, dB, A
60, 2026-04-13T06:24:45.371Z, dB, A
60.1, 2026-04-13T06:24:45.883Z, dB, A
59.8, 2026-04-13T06:24:46.394Z, dB, A
59.5, 2026-04-13T06:24:46.922Z, dB, A
59.8, 2026-04-13T06:24:47.434Z, dB, A
61, 2026-04-13T06:24:47.955Z, dB, A
62.3, 2026-04-13T06:24:48.467Z, dB, A
63.7, 2026-04-13T06:24:48.995Z, dB, A
65.7, 2026-04-13T06:24:49.507Z, dB, A
66, 2026-04-13T06:24:50.026Z, dB, A
69.9, 2026-04-13T06:24:50.539Z, dB, A
72.2, 2026-04-13T06:24:51.059Z, dB, A
74.6, 2026-04-13T06:24:51.571Z, dB, A
79.6, 2026-04-13T06:24:52.091Z, dB, A
76.4, 2026-04-13T06:24:52.603Z, dB, A
72.8, 2026-04-13T06:24:53.123Z, dB, A
69.9, 2026-04-13T06:24:53.635Z, dB, A
71.7, 2026-04-13T06:24:54.147Z, dB, A
74.3, 2026-04-13T06:24:54.659Z, dB, A
77.6, 2026-04-13T06:24:55.170Z, dB, A
77.9, 2026-04-13T06:24:55.690Z, dB, A
75.6, 2026-04-13T06:24:56.203Z, dB, A
71.3, 2026-04-13T06:24:56.722Z, dB, A
67.6, 2026-04-13T06:24:57.235Z, dB, A
64.1, 2026-04-13T06:24:57.755Z, dB, A
64.4, 2026-04-13T06:24:58.267Z, dB, A
66.1, 2026-04-13T06:24:58.786Z, dB, A
72.5, 2026-04-13T06:24:59.298Z, dB, A
73.7, 2026-04-13T06:24:59.819Z, dB, A
77.5, 2026-04-13T06:25:00.331Z, dB, A
80.7, 2026-04-13T06:25:00.851Z, dB, A
72.5, 2026-04-13T06:25:01.363Z, dB, A
72.5, 2026-04-13T06:25:01.363Z, dB, A
69.4, 2026-04-13T06:25:01.875Z, dB, A
67.4, 2026-04-13T06:25:02.387Z, dB, A
64.6, 2026-04-13T06:25:02.915Z, dB, A
62.8, 2026-04-13T06:25:03.427Z, dB, A
63.3, 2026-04-13T06:25:03.947Z, dB, A
66.1, 2026-04-13T06:25:04.459Z, dB, A
67.3, 2026-04-13T06:25:04.988Z, dB, A
68.4, 2026-04-13T06:25:05.506Z, dB, A
69.9, 2026-04-13T06:25:06.019Z, dB, A
74.1, 2026-04-13T06:25:06.539Z, dB, A
78, 2026-04-13T06:25:07.059Z, dB, A
78.4, 2026-04-13T06:25:07.579Z, dB, A
68.6, 2026-04-13T06:25:08.099Z, dB, A
67.5, 2026-04-13T06:25:08.611Z, dB, A
66.9, 2026-04-13T06:25:09.131Z, dB, A
69.3, 2026-04-13T06:25:09.642Z, dB, A
69, 2026-04-13T06:25:10.155Z, dB, A
67.7, 2026-04-13T06:25:10.667Z, dB, A
71.1, 2026-04-13T06:25:11.187Z, dB, A
73.9, 2026-04-13T06:25:11.707Z, dB, A
67.3, 2026-04-13T06:25:12.219Z, dB, A
66.2, 2026-04-13T06:25:12.739Z, dB, A
66.6, 2026-04-13T06:25:13.251Z, dB, A
69.3, 2026-04-13T06:25:13.771Z, dB, A
65.8, 2026-04-13T06:25:14.283Z, dB, A
71.5, 2026-04-13T06:25:14.803Z, dB, A
66.1, 2026-04-13T06:25:15.314Z, dB, A
66.9, 2026-04-13T06:25:15.835Z, dB, A
63.7, 2026-04-13T06:25:16.355Z, dB, A
