reading, timestamp, unit, weighting
78.8, 2026-04-14T10:19:22.367Z, dB, A
78.6, 2026-04-14T10:19:22.886Z, dB, A
77.2, 2026-04-14T10:19:23.398Z, dB, A
77.7, 2026-04-14T10:19:23.919Z, dB, A
77.6, 2026-04-14T10:19:24.439Z, dB, A
77.5, 2026-04-14T10:19:24.959Z, dB, A
77, 2026-04-14T10:19:25.479Z, dB, A
78.8, 2026-04-14T10:19:25.998Z, dB, A
80.4, 2026-04-14T10:19:26.511Z, dB, A
77.9, 2026-04-14T10:19:27.030Z, dB, A
76.5, 2026-04-14T10:19:27.542Z, dB, A
78.1, 2026-04-14T10:19:28.062Z, dB, A
76.3, 2026-04-14T10:19:28.574Z, dB, A
88.4, 2026-04-14T10:19:29.094Z, dB, A
90.6, 2026-04-14T10:19:29.606Z, dB, A
76.5, 2026-04-14T10:19:30.126Z, dB, A
78.8, 2026-04-14T10:19:30.646Z, dB, A
76.2, 2026-04-14T10:19:31.166Z, dB, A
76.6, 2026-04-14T10:19:31.678Z, dB, A
76.5, 2026-04-14T10:19:32.206Z, dB, A
76.5, 2026-04-14T10:19:32.206Z, dB, A
74.8, 2026-04-14T10:19:32.727Z, dB, A
74.3, 2026-04-14T10:19:33.247Z, dB, A
74.5, 2026-04-14T10:19:33.767Z, dB, A
76.2, 2026-04-14T10:19:34.279Z, dB, A
78.7, 2026-04-14T10:19:34.798Z, dB, A
79.2, 2026-04-14T10:19:35.310Z, dB, A
77.3, 2026-04-14T10:19:35.831Z, dB, A
76.4, 2026-04-14T10:19:36.343Z, dB, A
76.1, 2026-04-14T10:19:36.863Z, dB, A
75.6, 2026-04-14T10:19:37.383Z, dB, A
75.4, 2026-04-14T10:19:37.911Z, dB, A
73.6, 2026-04-14T10:19:38.430Z, dB, A
73.9, 2026-04-14T10:19:38.951Z, dB, A
75, 2026-04-14T10:19:39.471Z, dB, A
76.1, 2026-04-14T10:19:39.990Z, dB, A
76.1, 2026-04-14T10:19:40.502Z, dB, A
76.5, 2026-04-14T10:19:41.022Z, dB, A
76.2, 2026-04-14T10:19:41.534Z, dB, A
75.9, 2026-04-14T10:19:42.054Z, dB, A
75.6, 2026-04-14T10:19:42.567Z, dB, A
75, 2026-04-14T10:19:43.087Z, dB, A
75, 2026-04-14T10:19:43.606Z, dB, A
74.1, 2026-04-14T10:19:44.126Z, dB, A
74.4, 2026-04-14T10:19:44.638Z, dB, A
74.4, 2026-04-14T10:19:45.158Z, dB, A
74.5, 2026-04-14T10:19:45.670Z, dB, A
76.4, 2026-04-14T10:19:46.182Z, dB, A
77.2, 2026-04-14T10:19:46.694Z, dB, A
79.5, 2026-04-14T10:19:47.206Z, dB, A
80.9, 2026-04-14T10:19:47.718Z, dB, A
