reading,timestamp,unit,weighting
81.0,2026-04-20T06:42:16.065Z,dB,A
72.0,2026-04-20T06:42:16.593Z,dB,A
69.8,2026-04-20T06:42:17.112Z,dB,A
69.7,2026-04-20T06:42:17.633Z,dB,A
71.9,2026-04-20T06:42:18.160Z,dB,A
73.8,2026-04-20T06:42:18.689Z,dB,A
74.3,2026-04-20T06:42:19.216Z,dB,A
71.7,2026-04-20T06:42:19.737Z,dB,A
74.0,2026-04-20T06:42:20.257Z,dB,A
78.1,2026-04-20T06:42:20.785Z,dB,A
77.9,2026-04-20T06:42:21.305Z,dB,A
77.0,2026-04-20T06:42:21.832Z,dB,A
76.1,2026-04-20T06:42:22.353Z,dB,A
73.6,2026-04-20T06:42:22.864Z,dB,A
71.7,2026-04-20T06:42:23.393Z,dB,A
72.6,2026-04-20T06:42:23.921Z,dB,A
70.9,2026-04-20T06:42:24.449Z,dB,A
69.8,2026-04-20T06:42:24.976Z,dB,A
70.1,2026-04-20T06:42:25.497Z,dB,A
70.4,2026-04-20T06:42:26.009Z,dB,A
72.3,2026-04-20T06:42:26.521Z,dB,A
75.4,2026-04-20T06:42:27.049Z,dB,A
76.1,2026-04-20T06:42:27.561Z,dB,A
76.6,2026-04-20T06:42:28.089Z,dB,A
75.9,2026-04-20T06:42:28.617Z,dB,A
76.2,2026-04-20T06:42:29.145Z,dB,A
76.4,2026-04-20T06:42:29.673Z,dB,A
74.4,2026-04-20T06:42:30.200Z,dB,A
75.5,2026-04-20T06:42:30.729Z,dB,A
75.9,2026-04-20T06:42:31.249Z,dB,A
78.3,2026-04-20T06:42:31.777Z,dB,A
79.4,2026-04-20T06:42:32.288Z,dB,A
79.0,2026-04-20T06:42:32.801Z,dB,A
76.2,2026-04-20T06:42:33.329Z,dB,A
76.9,2026-04-20T06:42:33.841Z,dB,A
73.7,2026-04-20T06:42:34.353Z,dB,A
82.3,2026-04-20T06:42:34.873Z,dB,A
82.8,2026-04-20T06:42:35.393Z,dB,A
82.8,2026-04-20T06:42:35.921Z,dB,A
76.0,2026-04-20T06:42:36.441Z,dB,A
77.3,2026-04-20T06:42:36.953Z,dB,A
76.8,2026-04-20T06:42:37.473Z,dB,A
74.6,2026-04-20T06:42:38.001Z,dB,A
74.8,2026-04-20T06:42:38.529Z,dB,A
74.1,2026-04-20T06:42:39.057Z,dB,A
76.8,2026-04-20T06:42:39.585Z,dB,A
80.9,2026-04-20T06:42:40.105Z,dB,A
83.4,2026-04-20T06:42:40.625Z,dB,A
83.4,2026-04-20T06:42:41.153Z,dB,A
81.8,2026-04-20T06:42:41.673Z,dB,A
79.2,2026-04-20T06:42:42.185Z,dB,A
