reading,timestamp,unit,weighting
66.3,2026-04-20T10:16:15.235Z,dB,A
61.7,2026-04-20T10:16:15.755Z,dB,A
85.4,2026-04-20T10:16:16.283Z,dB,A
71.2,2026-04-20T10:16:16.803Z,dB,A
77.5,2026-04-20T10:16:17.331Z,dB,A
68.4,2026-04-20T10:16:17.843Z,dB,A
72.2,2026-04-20T10:16:18.371Z,dB,A
69.2,2026-04-20T10:16:18.891Z,dB,A
67.3,2026-04-20T10:16:19.411Z,dB,A
66.0,2026-04-20T10:16:19.931Z,dB,A
71.5,2026-04-20T10:16:20.451Z,dB,A
62.4,2026-04-20T10:16:20.971Z,dB,A
65.2,2026-04-20T10:16:21.491Z,dB,A
68.3,2026-04-20T10:16:22.010Z,dB,A
63.6,2026-04-20T10:16:22.539Z,dB,A
66.5,2026-04-20T10:16:23.059Z,dB,A
67.8,2026-04-20T10:16:23.578Z,dB,A
67.5,2026-04-20T10:16:24.099Z,dB,A
65.0,2026-04-20T10:16:24.619Z,dB,A
69.8,2026-04-20T10:16:25.130Z,dB,A
66.5,2026-04-20T10:16:25.651Z,dB,A
63.4,2026-04-20T10:16:26.163Z,dB,A
71.5,2026-04-20T10:16:26.683Z,dB,A
71.5,2026-04-20T10:16:27.203Z,dB,A
71.9,2026-04-20T10:16:27.723Z,dB,A
64.7,2026-04-20T10:16:28.243Z,dB,A
62.1,2026-04-20T10:16:28.771Z,dB,A
64.3,2026-04-20T10:16:29.291Z,dB,A
68.8,2026-04-20T10:16:29.811Z,dB,A
62.5,2026-04-20T10:16:30.331Z,dB,A
64.8,2026-04-20T10:16:30.851Z,dB,A
64.9,2026-04-20T10:16:31.371Z,dB,A
63.5,2026-04-20T10:16:31.891Z,dB,A
65.1,2026-04-20T10:16:32.411Z,dB,A
62.4,2026-04-20T10:16:32.931Z,dB,A
60.3,2026-04-20T10:16:33.459Z,dB,A
61.9,2026-04-20T10:16:33.979Z,dB,A
62.8,2026-04-20T10:16:34.499Z,dB,A
66.8,2026-04-20T10:16:35.019Z,dB,A
71.6,2026-04-20T10:16:35.539Z,dB,A
59.6,2026-04-20T10:16:36.059Z,dB,A
59.3,2026-04-20T10:16:36.571Z,dB,A
60.1,2026-04-20T10:16:37.099Z,dB,A
59.9,2026-04-20T10:16:37.619Z,dB,A
63.3,2026-04-20T10:16:38.131Z,dB,A
67.0,2026-04-20T10:16:38.650Z,dB,A
65.3,2026-04-20T10:16:39.171Z,dB,A
65.8,2026-04-20T10:16:39.691Z,dB,A
69.7,2026-04-20T10:16:40.211Z,dB,A
62.0,2026-04-20T10:16:40.731Z,dB,A
69.8,2026-04-20T10:16:41.259Z,dB,A
69.8,2026-04-20T10:16:41.778Z,dB,A
66.3,2026-04-20T10:16:42.299Z,dB,A
75.3,2026-04-20T10:16:42.826Z,dB,A
