reading, timestamp, unit, weighting
48, 2026-04-08T08:00:15.956Z, dB, A
48.6, 2026-04-08T08:00:16.469Z, dB, A
48.2, 2026-04-08T08:00:16.981Z, dB, A
48.1, 2026-04-08T08:00:17.492Z, dB, A
47.9, 2026-04-08T08:00:18.004Z, dB, A
47.8, 2026-04-08T08:00:18.517Z, dB, A
52.6, 2026-04-08T08:00:19.028Z, dB, A
68.7, 2026-04-08T08:00:19.541Z, dB, A
68.7, 2026-04-08T08:00:19.541Z, dB, A
63.4, 2026-04-08T08:00:20.053Z, dB, A
84.6, 2026-04-08T08:00:20.573Z, dB, A
76.8, 2026-04-08T08:00:21.084Z, dB, A
49, 2026-04-08T08:00:21.597Z, dB, A
51.8, 2026-04-08T08:00:22.108Z, dB, A
54.3, 2026-04-08T08:00:22.629Z, dB, A
48.5, 2026-04-08T08:00:23.141Z, dB, A
48.3, 2026-04-08T08:00:23.653Z, dB, A
76.3, 2026-04-08T08:00:24.165Z, dB, A
70.2, 2026-04-08T08:00:24.676Z, dB, A
48.9, 2026-04-08T08:00:25.188Z, dB, A
48.2, 2026-04-08T08:00:25.701Z, dB, A
48.2, 2026-04-08T08:00:26.213Z, dB, A
48.3, 2026-04-08T08:00:26.724Z, dB, A
47.7, 2026-04-08T08:00:27.237Z, dB, A
48.8, 2026-04-08T08:00:27.749Z, dB, A
57.4, 2026-04-08T08:00:28.260Z, dB, A
64, 2026-04-08T08:00:28.772Z, dB, A
64.5, 2026-04-08T08:00:29.285Z, dB, A
66.8, 2026-04-08T08:00:29.797Z, dB, A
63.5, 2026-04-08T08:00:30.308Z, dB, A
61.5, 2026-04-08T08:00:30.821Z, dB, A
61.5, 2026-04-08T08:00:31.333Z, dB, A
51.1, 2026-04-08T08:00:31.844Z, dB, A
71.3, 2026-04-08T08:00:32.356Z, dB, A
61.6, 2026-04-08T08:00:32.868Z, dB, A
50.8, 2026-04-08T08:00:33.381Z, dB, A
48.9, 2026-04-08T08:00:33.893Z, dB, A
51.8, 2026-04-08T08:00:34.405Z, dB, A
50.2, 2026-04-08T08:00:34.916Z, dB, A
61.9, 2026-04-08T08:00:35.428Z, dB, A
80.7, 2026-04-08T08:00:35.940Z, dB, A
80.3, 2026-04-08T08:00:36.452Z, dB, A
57, 2026-04-08T08:00:36.965Z, dB, A
71.2, 2026-04-08T08:00:37.476Z, dB, A
